orig_order,sequence_id,lon,lat,height_m,morphology,vent_field,chimney_name,dist_from_axis_m,utm9n_easting,utm9n_northing,seafloor_depth_m,col_wgs84,row_wgs84,col_utm1m,row_utm1m
73,379,-129.087533734,47.968731394,13,chimney,High Rise,Three Sisters,67.1137,493466.433,5312828.565,-2160.159,167,130,168,194
71,380,-129.087984396,47.968754262,5,chimney,High Rise,,33.678,493432.798,5312831.145,-2171.523,134,128,134,191
72,381,-129.087809007,47.968757114,5,chimney,High Rise,,46.4203,493445.889,5312831.447,-2169.989,147,128,147,191
70,382,-129.087679115,47.968967733,8,chimney,High Rise,,50.861,493455.611,5312854.846,-2170.864,157,112,157,168
68,384,-129.088272664,47.969203936,5,chimney,High Rise,,1.3641,493411.339,5312881.149,-2169.761,112,94,113,141
374,385,-129.088304888,47.969229514,5,chimney,,,1.6812,493408.937,5312883.995,-2170.268,110,92,110,139
67,386,-129.087181679,47.969336915,5,mound,High Rise,,76.4217,493492.786,5312895.836,-2169.688,194,84,194,127
66,387,-129.088067378,47.969903549,8,chimney,High Rise,,3.4498,493426.75,5312958.89,-2160.594,128,42,128,64
65,388,-129.088044378,47.969941549,8,chimney,HIgh Rise,,2.8555,493428.471,5312963.112,-2163.645,129,39,130,59
64,389,-129.087867886,47.970058436,5,chimney,High Rise,,6.6092,493441.659,5312976.088,-2162.645,142,30,143,46
63,390,-129.087802713,47.970136764,6,chimney,High Rise,,9.1171,493446.534,5312984.788,-2163.979,147,25,148,38
62,391,-129.087840554,47.970189451,4,chimney,High Rise,,4.9052,493443.716,5312990.647,-2161.127,145,21,145,32
